Entity,Code,Year,PM2.5,Death.Rate,lng,lat
Poland,POL,1995,34.1,28.99,19.31101431086566,52.14826030557406
Poland,POL,2000,29.4,50.61,19.31101431086566,52.14826030557406
Poland,POL,2001,29.2,34.43,19.31101431086566,52.14826030557406
Poland,POL,2002,33.9,33.87,19.31101431086566,52.14826030557406
Poland,POL,2003,34.2,37.65,19.31101431086566,52.14826030557406
Poland,POL,2004,29.8,37.32,19.31101431086566,52.14826030557406
Poland,POL,2005,30.7,40.1,19.31101431086566,52.14826030557406
Poland,POL,2006,33.0,42.23,19.31101431086566,52.14826030557406
Poland,POL,2007,26.8,51.42,19.31101431086566,52.14826030557406
Poland,POL,2008,25.8,55.78,19.31101431086566,52.14826030557406
Poland,POL,2009,27.6,58.19,19.31101431086566,52.14826030557406
Poland,POL,2010,30.4,51.5,19.31101431086566,52.14826030557406
Poland,POL,2011,29.3,59.95,19.31101431086566,52.14826030557406
Poland,POL,2012,27.1,62.18,19.31101431086566,52.14826030557406
Poland,POL,2013,25.7,72.14,19.31101431086566,52.14826030557406
Poland,POL,2014,26.3,69.66,19.31101431086566,52.14826030557406
Poland,POL,2015,25.1,85.15,19.31101431086566,52.14826030557406
Poland,POL,2016,23.6,73.93,19.31101431086566,52.14826030557406
Poland,POL,2017,24.9,79.23,19.31101431086566,52.14826030557406
Poland,POL,2018,25.2,81.34,19.31101431086566,52.14826030557406
Poland,POL,2019,21.1,72.67,19.31101431086566,52.14826030557406
Poland,POL,2020,19.9,67.21,19.31101431086566,52.14826030557406
Slovak Republic,SVK,2000,21.4,60.536,19.507657094537777,48.72671130750541
Slovak Republic,SVK,2001,21.6,67.439,19.507657094537777,48.72671130750541
Slovak Republic,SVK,2002,24.6,78.137,19.507657094537777,48.72671130750541
Slovak Republic,SVK,2003,25.5,82.659,19.507657094537777,48.72671130750541
Slovak Republic,SVK,2004,22.3,78.516,19.507657094537777,48.72671130750541
Slovak Republic,SVK,2005,23.4,65.186,19.507657094537777,48.72671130750541
Slovak Republic,SVK,2006,24.5,61.315,19.507657094537777,48.72671130750541
Slovak Republic,SVK,2007,19.9,60.546,19.507657094537777,48.72671130750541
Slovak Republic,SVK,2008,19.8,56.616,19.507657094537777,48.72671130750541
Slovak Republic,SVK,2009,20.3,66.289,19.507657094537777,48.72671130750541
Slovak Republic,SVK,2010,21.4,68.775,19.507657094537777,48.72671130750541
Slovak Republic,SVK,2011,22.8,67.832,19.507657094537777,48.72671130750541
Slovak Republic,SVK,2012,20.4,71.845,19.507657094537777,48.72671130750541
Slovak Republic,SVK,2013,19.4,69.815,19.507657094537777,48.72671130750541
Slovak Republic,SVK,2014,19.4,62.555,19.507657094537777,48.72671130750541
Slovak Republic,SVK,2015,19.3,71.374,19.507657094537777,48.72671130750541
Slovak Republic,SVK,2016,17.9,70.124,19.507657094537777,48.72671130750541
Slovak Republic,SVK,2017,18.2,66.349,19.507657094537777,48.72671130750541
Slovak Republic,SVK,2018,18.6,79.979,19.507657094537777,48.72671130750541
Slovak Republic,SVK,2019,15.7,68.247,19.507657094537777,48.72671130750541
Slovak Republic,SVK,2020,15.5,68.212,19.507657094537777,48.72671130750541
Greece,GRC,1995,20.3,63.24,22.71981345968664,39.06671600519395
Greece,GRC,2000,22.3,67.21,22.71981345968664,39.06671600519395
Greece,GRC,2001,20.3,58.51,22.71981345968664,39.06671600519395
Greece,GRC,2002,21.5,45.09,22.71981345968664,39.06671600519395
Greece,GRC,2003,22.5,51.48,22.71981345968664,39.06671600519395
Greece,GRC,2004,19.8,66.11,22.71981345968664,39.06671600519395
Greece,GRC,2005,20.7,66.22,22.71981345968664,39.06671600519395
Greece,GRC,2006,20.6,90.97,22.71981345968664,39.06671600519395
Greece,GRC,2007,20.8,98.97,22.71981345968664,39.06671600519395
Greece,GRC,2008,19.8,80.74,22.71981345968664,39.06671600519395
Greece,GRC,2009,19.3,96.58,22.71981345968664,39.06671600519395
Greece,GRC,2010,19.1,81.85,22.71981345968664,39.06671600519395
Greece,GRC,2011,19.4,99.07,22.71981345968664,39.06671600519395
Greece,GRC,2012,17.1,108.36,22.71981345968664,39.06671600519395
Greece,GRC,2013,16.3,93.48,22.71981345968664,39.06671600519395
Greece,GRC,2014,15.3,130.38,22.71981345968664,39.06671600519395
Greece,GRC,2015,15.6,141.86,22.71981345968664,39.06671600519395
Greece,GRC,2016,14.1,122.48,22.71981345968664,39.06671600519395
Greece,GRC,2017,14.4,134.81,22.71981345968664,39.06671600519395
Greece,GRC,2018,14.3,137.87,22.71981345968664,39.06671600519395
Greece,GRC,2019,13.8,145.75,22.71981345968664,39.06671600519395
Greece,GRC,2020,13.1,120.407,22.71981345968664,39.06671600519395
United Kingdom,GBR,2019,8.1,99.4,-2.8531355495938624,53.914773538359306
United Kingdom,GBR,2020,7.8,109.82,-2.8531355495938624,53.914773538359306
Korea,KOR,2000,25.1,33.3,127.82131716620974,36.42759872225709
Korea,KOR,2001,25.0,27.54,127.82131716620974,36.42759872225709
Korea,KOR,2002,24.8,28.24,127.82131716620974,36.42759872225709
Korea,KOR,2003,24.7,28.1,127.82131716620974,36.42759872225709
Korea,KOR,2004,24.2,24.92,127.82131716620974,36.42759872225709
Korea,KOR,2005,24.2,27.67,127.82131716620974,36.42759872225709
Korea,KOR,2006,24.5,32.26,127.82131716620974,36.42759872225709
Korea,KOR,2007,24.6,24.16,127.82131716620974,36.42759872225709
Korea,KOR,2008,24.6,29.47,127.82131716620974,36.42759872225709
Korea,KOR,2009,23.6,41.31,127.82131716620974,36.42759872225709
Korea,KOR,2010,20.5,34.04,127.82131716620974,36.42759872225709
Korea,KOR,2011,24.5,45.04,127.82131716620974,36.42759872225709
Korea,KOR,2012,25.3,47.3,127.82131716620974,36.42759872225709
Korea,KOR,2013,27.2,49.31,127.82131716620974,36.42759872225709
Korea,KOR,2014,28.1,58.71,127.82131716620974,36.42759872225709
Korea,KOR,2015,26.2,57.58,127.82131716620974,36.42759872225709
Korea,KOR,2016,26.7,60.51,127.82131716620974,36.42759872225709
Korea,KOR,2017,25.8,67.54,127.82131716620974,36.42759872225709
Korea,KOR,2018,25.8,72.03,127.82131716620974,36.42759872225709
Korea,KOR,2019,25.8,86.51,127.82131716620974,36.42759872225709
Korea,KOR,2020,25.9,68.64,127.82131716620974,36.42759872225709
Italy,ITA,2003,28.2,62.1,12.140788356331674,42.75118276365151
Italy,ITA,2004,25.0,59.1,12.140788356331674,42.75118276365151
Italy,ITA,2005,25.7,66.4,12.140788356331674,42.75118276365151
Italy,ITA,2006,25.6,56.6,12.140788356331674,42.75118276365151
Italy,ITA,2007,25.0,63.3,12.140788356331674,42.75118276365151
Italy,ITA,2008,22.8,60.3,12.140788356331674,42.75118276365151
Italy,ITA,2009,23.6,65.9,12.140788356331674,42.75118276365151
Italy,ITA,2010,21.5,66.0,12.140788356331674,42.75118276365151
Italy,ITA,2011,23.6,65.2,12.140788356331674,42.75118276365151
Italy,ITA,2012,20.4,68.2,12.140788356331674,42.75118276365151
Italy,ITA,2013,19.4,67.9,12.140788356331674,42.75118276365151
Italy,ITA,2014,18.4,65.0,12.140788356331674,42.75118276365151
Italy,ITA,2015,19.2,79.4,12.140788356331674,42.75118276365151
Italy,ITA,2016,17.1,74.7,12.140788356331674,42.75118276365151
Italy,ITA,2017,17.0,85.7,12.140788356331674,42.75118276365151
Italy,ITA,2018,17.4,75.0,12.140788356331674,42.75118276365151
Italy,ITA,2019,16.3,83.1,12.140788356331674,42.75118276365151
Slovenia,SVN,2000,19.6,109.59,14.938152421437367,46.12542210264743
Slovenia,SVN,2001,19.3,77.3,14.938152421437367,46.12542210264743
Slovenia,SVN,2002,22.1,77.23,14.938152421437367,46.12542210264743
